Number of Vehicles in Lane 1,Number of Vehicles in Lane 2,Number of Vehicles in Lane 3,Number of Vehicles in Lane 4,Lane 1 Traffic Flow,Lane 2 Traffic Flow,Lane 3 Traffic Flow,Lane 4 Traffic Flow,Lane 1 On Time,Lane 2 On Time,Lane 3 On Time,Lane 4 On Time,Lane 1 Saturation Flow,Lane 2 Saturation Flow,Lane 3 Saturation Flow,Lane 4 Saturation Flow,Lane 1 Flow Ratio,Lane 2 Flow Ratio,Lane 3 Flow Ratio,Lane 4 Flow Ratio,Total Flow Ratio,Optimum Cycle Time,Width of Lane 1,Width of Lane 2,Width of Lane 3,Width of Lane 4,Intergreen Period,Amber Period,Number of Phases,Initial Delay,Minimum On Time,Maximum Cycle Time,Total Time Lost
0,0,25,17,0.0,0.0,42.5,30.5,10.0,10.0,20.0,14.0,180.0,180.0,180.0,180.0,0.0,0.0,0.2361111111111111,0.16944444444444445,0.40555555555555556,70,10,10,10,10,4,2,4,0,10,120,16
0,27,0,21,0.0,42.33,0.0,28.0,10.0,20.0,10.0,14.0,180.0,180.0,180.0,180.0,0.0,0.23516666666666666,0.0,0.15555555555555556,0.3907222222222222,70,10,10,10,10,4,2,4,0,10,120,16
27,14,32,12,34.25,22.25,38.65,25.25,21.0,14.0,24.0,16.0,180.0,180.0,180.0,180.0,0.19027777777777777,0.12361111111111112,0.2147222222222222,0.14027777777777778,0.6688888888888889,90,10,10,10,10,4,2,4,0,10,120,16
38,32,5,14,66.75,38.65,10.5,22.25,49.0,29.0,10.0,16.0,180.0,180.0,180.0,180.0,0.37083333333333335,0.2147222222222222,0.058333333333333334,0.12361111111111112,0.7675000000000001,120,10,10,10,10,4,2,4,0,10,120,16
25,18,18,16,37.25,21.25,28.75,24.75,21.0,12.0,16.0,14.0,180.0,180.0,180.0,180.0,0.20694444444444443,0.11805555555555555,0.1597222222222222,0.1375,0.6222222222222222,80,10,10,10,10,4,2,4,0,10,120,16
4,3,9,4,4.0,3.0,10.75,5.5,10.0,10.0,11.0,10.0,180.0,180.0,180.0,180.0,0.022222222222222223,0.016666666666666666,0.059722222222222225,0.030555555555555555,0.12916666666666668,55,10,10,10,10,4,2,4,0,10,120,16
42,3,26,25,65.0,2.0,41.5,36.0,43.0,10.0,27.0,24.0,180.0,180.0,180.0,180.0,0.3611111111111111,0.011111111111111112,0.23055555555555557,0.2,0.8027777777777778,120,10,10,10,10,4,2,4,0,10,120,16
37,18,38,34,53.25,21.25,51.25,45.75,32.0,13.0,31.0,28.0,180.0,180.0,180.0,180.0,0.29583333333333334,0.11805555555555555,0.2847222222222222,0.25416666666666665,0.9527777777777777,120,10,10,10,10,4,2,4,0,10,120,16
24,24,2,26,26.5,32.25,2.75,41.5,14.0,17.0,10.0,22.0,180.0,180.0,180.0,180.0,0.14722222222222223,0.17916666666666667,0.015277777777777777,0.23055555555555557,0.5722222222222222,80,10,10,10,10,4,2,4,0,10,120,16
24,12,25,0,29.0,25.25,37.25,0.0,14.0,12.0,18.0,10.0,180.0,180.0,180.0,180.0,0.16111111111111112,0.14027777777777778,0.20694444444444443,0.0,0.5083333333333333,70,10,10,10,10,4,2,4,0,10,120,16
25,34,12,9,42.5,45.75,19.5,12.5,27.0,29.0,12.0,10.0,180.0,180.0,180.0,180.0,0.2361111111111111,0.25416666666666665,0.10833333333333334,0.06944444444444445,0.6680555555555555,95,10,10,10,10,4,2,4,0,10,120,16
17,14,2,9,26.5,22.25,2.75,12.5,14.0,12.0,10.0,10.0,180.0,180.0,180.0,180.0,0.14722222222222223,0.12361111111111112,0.015277777777777777,0.06944444444444445,0.3555555555555556,65,10,10,10,10,4,2,4,0,10,120,16
17,12,24,26,30.5,14.25,33.0,41.5,20.0,10.0,22.0,27.0,180.0,180.0,180.0,180.0,0.16944444444444445,0.07916666666666666,0.18333333333333332,0.23055555555555557,0.6625000000000001,95,10,10,10,10,4,2,4,0,10,120,16
2,12,16,18,2.75,14.25,17.0,28.75,10.0,10.0,11.0,13.0,180.0,180.0,180.0,180.0,0.015277777777777777,0.07916666666666666,0.09444444444444444,0.1597222222222222,0.3486111111111111,55,10,10,10,10,4,2,4,0,10,120,16
33,1,0,14,46.5,1.0,0.0,22.25,23.0,10.0,10.0,11.0,180.0,180.0,180.0,180.0,0.25833333333333336,0.005555555555555556,0.0,0.12361111111111112,0.3875,70,10,10,10,10,4,2,4,0,10,120,16
